sessionId,eventId,eventStartDate,seriesId,seasonYear,trackId,trackName,country,status,canonicalLaps,personalLaps,lengthMi,personalMiles,confidenceClass,sourceGrain,metricGrain,attributionMethod,sourceRef
session_gb3_2022_1365,event_gb3_2022_r5_spa,2022-07-23,series_gb3,2022,track_spa_gp,Circuit de Spa-Francorchamps,Belgium,running,1,1,4.352,4.352,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2022_session_1365
session_gb3_2022_1094,event_gb3_2022_r6_silverstone,2022-07-30,series_gb3,2022,track_silverstone_gp,Silverstone Circuit,United Kingdom,running,10,10,3.66,36.600,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2022_session_1094
session_gb3_2022_1376,event_gb3_2022_r6_silverstone,2022-07-30,series_gb3,2022,track_silverstone_gp,Silverstone Circuit,United Kingdom,dnf,7,7,3.66,25.620,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2022_session_1376
session_gb3_2022_1096,event_gb3_2022_r6_silverstone,2022-07-30,series_gb3,2022,track_silverstone_gp,Silverstone Circuit,United Kingdom,running,10,10,3.66,36.600,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2022_session_1096
session_gb3_2022_1097,event_gb3_2022_r7_brands_hatch,2022-09-10,series_gb3,2022,track_brands_hatch_gp,Brands Hatch Circuit,United Kingdom,running,14,14,2.433,34.062,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2022_session_1097
session_gb3_2022_1098,event_gb3_2022_r7_brands_hatch,2022-09-10,series_gb3,2022,track_brands_hatch_gp,Brands Hatch Circuit,United Kingdom,running,14,14,2.433,34.062,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2022_session_1098
session_gb3_2022_1099,event_gb3_2022_r7_brands_hatch,2022-09-10,series_gb3,2022,track_brands_hatch_gp,Brands Hatch Circuit,United Kingdom,running,10,10,2.433,24.330,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2022_session_1099
session_gb3_2022_1103,event_gb3_2022_r8_donington_park,2022-10-15,series_gb3,2022,track_donington_park_gp,Donington Park,United Kingdom,running,14,14,2.498,34.972,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2022_session_1103
session_gb3_2022_1104,event_gb3_2022_r8_donington_park,2022-10-15,series_gb3,2022,track_donington_park_gp,Donington Park,United Kingdom,running,13,13,2.498,32.474,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2022_session_1104
session_gb3_2022_1105,event_gb3_2022_r8_donington_park,2022-10-15,series_gb3,2022,track_donington_park_gp,Donington Park,United Kingdom,running,13,13,2.498,32.474,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2022_session_1105
session_euroformula_2023_01-portimao-race-1,event_euroformula_2023_r1_portimao,2023-04-29,series_euroformula_open,2023,track_autodromo_internacional_do_algarve,Autodromo Internacional do Algarve,Portugal,running,17,17,2.891,49.147,observed_exact,driver,driver_physical_race,canonical driver result lapsCompleted,source_euroformula_2023_01-portimao-race-1_pdf
session_euroformula_2023_01-portimao-race-2,event_euroformula_2023_r1_portimao,2023-04-29,series_euroformula_open,2023,track_autodromo_internacional_do_algarve,Autodromo Internacional do Algarve,Portugal,running,18,18,2.891,52.038,observed_exact,driver,driver_physical_race,canonical driver result lapsCompleted,source_euroformula_2023_01-portimao-race-2_pdf
session_euroformula_2023_01-portimao-race-3,event_euroformula_2023_r1_portimao,2023-04-29,series_euroformula_open,2023,track_autodromo_internacional_do_algarve,Autodromo Internacional do Algarve,Portugal,running,18,18,2.891,52.038,observed_exact,driver,driver_physical_race,canonical driver result lapsCompleted,source_euroformula_2023_01-portimao-race-3_pdf
