fromEventId,fromEventStartDate,fromTrackName,fromCountry,toEventId,toEventStartDate,toTrackName,toCountry,greatCircleMiles,greatCircleConfidence,travelModeProxy,routeFactorLow,routeFactorBase,routeFactorHigh,routeAdjustedLowMiles,routeAdjustedBaseMiles,routeAdjustedHighMiles,routeAdjustedConfidence,actualTravelConfidence
event_gb3_2022_r7_brands_hatch,2022-09-10,Brands Hatch Circuit,United Kingdom,event_gb3_2022_r8_donington_park,2022-10-15,Donington Park,United Kingdom,123.3,observed_exact,drive_proxy,1.12,1.18,1.28,138.1,145.5,157.8,modeled_range,unknown
event_gb3_2022_r8_donington_park,2022-10-15,Donington Park,United Kingdom,event_euroformula_2023_r1_portimao,2023-04-29,Autodromo Internacional do Algarve,Portugal,1133.4,observed_exact,flight_proxy,1.03,1.08,1.15,1167.4,1224.0,1303.4,modeled_range,unknown
event_euroformula_2023_r1_portimao,2023-04-29,Autodromo Internacional do Algarve,Portugal,event_euroformula_2023_r2_spa_francorchamps,2023-05-27,Circuit de Spa-Francorchamps,Belgium,1162.9,observed_exact,flight_proxy,1.03,1.08,1.15,1197.8,1255.9,1337.3,modeled_range,unknown
event_euroformula_2023_r2_spa_francorchamps,2023-05-27,Circuit de Spa-Francorchamps,Belgium,event_euroformula_2023_r3_hungaroring,2023-06-17,Hungaroring,Hungary,632.4,observed_exact,flight_proxy,1.03,1.08,1.15,651.3,683.0,727.2,modeled_range,unknown
event_euroformula_2023_r3_hungaroring,2023-06-17,Hungaroring,Hungary,event_euroformula_2023_r4_paul_ricard,2023-07-22,Circuit Paul Ricard,France,716.9,observed_exact,flight_proxy,1.03,1.08,1.15,738.4,774.3,824.5,modeled_range,unknown
event_euroformula_2023_r4_paul_ricard,2023-07-22,Circuit Paul Ricard,France,event_euroformula_2023_r5_red_bull_ring,2023-09-09,Red Bull Ring,Austria,515.1,observed_exact,flight_proxy,1.03,1.08,1.15,530.5,556.3,592.3,modeled_range,unknown
event_euroformula_2023_r5_red_bull_ring,2023-09-09,Red Bull Ring,Austria,event_euroformula_2023_r6_monza,2023-09-23,Autodromo Nazionale Monza,Italy,283.7,observed_exact,flight_proxy,1.03,1.08,1.15,292.2,306.4,326.2,modeled_range,unknown
event_euroformula_2023_r6_monza,2023-09-23,Autodromo Nazionale Monza,Italy,event_froc_2024_r4_euromarque_motorsport_park,2024-02-09,Euromarque Motorsport Park,New Zealand,11599.1,observed_exact,flight_proxy,1.03,1.08,1.15,11947.1,12527.0,13339.0,modeled_range,unknown
event_froc_2024_r4_euromarque_motorsport_park,2024-02-09,Euromarque Motorsport Park,New Zealand,event_froc_2024_r5_highlands_motorsport_park,2024-02-16,Highlands Motorsport Park,New Zealand,194.8,observed_exact,drive_proxy,1.12,1.18,1.28,218.1,229.8,249.3,modeled_range,unknown
event_froc_2024_r5_highlands_motorsport_park,2024-02-16,Highlands Motorsport Park,New Zealand,event_indy_nxt_2024_5480,2024-03-08,Streets of St. Petersburg,United States,8406.3,observed_exact,flight_proxy,1.03,1.08,1.15,8658.5,9078.8,9667.3,modeled_range,unknown
event_indy_nxt_2024_5480,2024-03-08,Streets of St. Petersburg,United States,event_indy_nxt_2024_5470,2024-04-26,Barber Motorsports Park,United States,463.4,observed_exact,drive_proxy,1.12,1.18,1.28,519.0,546.8,593.1,modeled_range,unknown
event_indy_nxt_2024_5470,2024-04-26,Barber Motorsports Park,United States,event_indy_nxt_2024_5471,2024-05-10,Indianapolis Motor Speedway Road Course,United States,433.1,observed_exact,drive_proxy,1.12,1.18,1.28,485.1,511.1,554.4,modeled_range,unknown
event_indy_nxt_2024_5471,2024-05-10,Indianapolis Motor Speedway Road Course,United States,event_indy_nxt_2024_5481,2024-05-10,Indianapolis Motor Speedway Road Course,United States,0.0,observed_exact,same_venue,1.0,1.0,1.0,0.0,0.0,0.0,modeled_range,unknown
event_indy_nxt_2024_5481,2024-05-10,Indianapolis Motor Speedway Road Course,United States,event_indy_nxt_2024_5482,2024-05-31,Detroit Downtown Street Circuit,United States,241.6,observed_exact,drive_proxy,1.12,1.18,1.28,270.6,285.1,309.3,modeled_range,unknown
event_indy_nxt_2024_5482,2024-05-31,Detroit Downtown Street Circuit,United States,event_indy_nxt_2024_5472,2024-06-07,Road America,United States,269.5,observed_exact,drive_proxy,1.12,1.18,1.28,301.8,318.0,345.0,modeled_range,unknown
