sessionId,eventId,eventStartDate,seriesId,seriesName,seasonYear,sessionType,sessionName,trackId,trackName,country,lapsFloor,lengthMi,milesFloor,confidenceClass,sourceGrain,metricGrain,lapField,semanticNote,sourceRef
session_formula_ford_2020_wht_heat_3,event_formula_ford_2020_walter_hayes_trophy,2020-10-31,series_formula_ford,Formula Ford,2020,heat,HEAT 3,track_silverstone_national,Silverstone Circuit,United Kingdom,8,1.64,13.120,observed_exact,driver_result,driver_physical_session,lapsCompleted,canonical physical-session driver result lap count,source_formula_ford_2020_wht_heat_3_classification;source_formula_ford_2020_wht_heat_3_grid
session_formula_ford_2020_wht_heat_3_qualifying,event_formula_ford_2020_walter_hayes_trophy,2020-10-31,series_formula_ford,Formula Ford,2020,qualifying,HEAT 3 QUALIFYING,track_silverstone_national,Silverstone Circuit,United Kingdom,9,1.64,14.760,observed_exact,driver_result,driver_physical_session,lapsCompleted,canonical physical-session driver result lap count,source_formula_ford_2020_wht_heat_3_qualifying_classification
session_formula_ford_2020_wht_semi_final_2,event_formula_ford_2020_walter_hayes_trophy,2020-10-31,series_formula_ford,Formula Ford,2020,race,SEMI FINAL 2,track_silverstone_national,Silverstone Circuit,United Kingdom,12,1.64,19.680,observed_exact,driver_result,driver_physical_session,personalLaps,canonical driver result lapsCompleted,source_formula_ford_2020_wht_semi_final_2_classification;source_formula_ford_2020_wht_semi_final_2_grid
session_gb3_2021_212005_free_practice_1,event_gb3_2021_r1_brands_hatch,2021-05-22,series_gb3,GB3 Championship,2021,practice,Free Practice 1,track_brands_hatch_gp,Brands Hatch Circuit,United Kingdom,11,2.433,26.763,observed_exact,driver,driver_physical_session,lapsCompleted,canonical physical-session driver result lap count,source_gb3_2021_212005_fp1_bf3_pdf
session_gb3_2021_212005_qualifying,event_gb3_2021_r1_brands_hatch,2021-05-22,series_gb3,GB3 Championship,2021,qualifying,Qualifying,track_brands_hatch_gp,Brands Hatch Circuit,United Kingdom,14,2.433,34.062,observed_exact,driver,driver_physical_session,lapsCompleted,canonical physical-session driver result lap count,source_gb3_2021_212005_qu1_bf3_pdf
session_gb3_2021_212005_qualifying_2nd_fastest,event_gb3_2021_r1_brands_hatch,2021-05-22,series_gb3,GB3 Championship,2021,qualifying,Qualifying 2nd Fastest,track_brands_hatch_gp,Brands Hatch Circuit,United Kingdom,14,2.433,34.062,observed_exact,driver,driver_physical_session,lapsCompleted,canonical physical-session driver result lap count,source_gb3_2021_212005_qu2_bf3_pdf
session_gb3_2021_212005_race_1_result,event_gb3_2021_r1_brands_hatch,2021-05-22,series_gb3,GB3 Championship,2021,race,Race 1 Result,track_brands_hatch_gp,Brands Hatch Circuit,United Kingdom,12,2.433,29.196,observed_exact,driver,driver_physical_session,personalLaps,canonical driver result lapsCompleted,source_gb3_2021_212005_rc1_bf3_pdf;source_gb3_2021_212005_grd_bf3_pdf
session_gb3_2021_212005_race_2_result,event_gb3_2021_r1_brands_hatch,2021-05-22,series_gb3,GB3 Championship,2021,race,Race 2 Result,track_brands_hatch_gp,Brands Hatch Circuit,United Kingdom,10,2.433,24.330,observed_exact,driver,driver_physical_session,personalLaps,canonical driver result lapsCompleted,source_gb3_2021_212005_rc2_bf3_pdf;source_gb3_2021_212005_gr2_bf3_pdf
session_gb3_2021_212005_race_3_result,event_gb3_2021_r1_brands_hatch,2021-05-22,series_gb3,GB3 Championship,2021,race,Race 3 Result,track_brands_hatch_gp,Brands Hatch Circuit,United Kingdom,12,2.433,29.196,observed_exact,driver,driver_physical_session,personalLaps,canonical driver result lapsCompleted,source_gb3_2021_212005_rc3_bf3_pdf;source_gb3_2021_212005_gr3_bf3_pdf
session_gb3_2021_212505_qualifying,event_gb3_2021_r2_silverstone,2021-06-26,series_gb3,GB3 Championship,2021,qualifying,Qualifying,track_silverstone_gp,Silverstone Circuit,United Kingdom,10,3.66,36.600,observed_exact,driver,driver_physical_session,lapsCompleted,canonical physical-session driver result lap count,source_gb3_2021_212505_qu1_bf3_pdf
