sessionId,eventId,seasonYear,eventName,trackName,trackType,sessionType,sessionName,bryceLapCount,bryceSectionObservations,comparisonRows,medianTrackSectionPercentile,topQuartileTrackSectionShare,bottomQuartileTrackSectionShare,bestSectionFamilies,weakestSectionFamilies,bestLapRank,topSectionBryceRows,sourceState,sourceHash
session_indy_nxt_2024_6505,event_indy_nxt_2024_5478,2024,INDY NXT By Firestone at The Milwaukee Mile,The Milwaukee Mile,oval,practice,Practice,49,576,259,0.5333,0.2317,0.2201,BS to T3:0.73 n=37; SS1 to T2:0.67 n=37; T2 to BS:0.62 n=37; T3 to SS2:0.56 n=37,T1 to SS1:0.29 n=37; T4 to FS:0.33 n=37; T3 to SS2:0.56 n=37; SS2 to T4:0.56 n=37,15,29,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6506,event_indy_nxt_2024_5478,2024,INDY NXT By Firestone at The Milwaukee Mile,The Milwaukee Mile,oval,qualifying,Qualifications,2,22,14,0.7333,0.3571,0.0714,,,6,23,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6513,event_indy_nxt_2024_5477,2024,Grand Prix of Portland,Portland International Raceway,road,qualifying,Qualifications - Group 2,11,170,88,0.5,0.375,0.2955,Turn 2:0.88 n=8; Turn 9:0.88 n=8; Turn 3:0.81 n=8; Turn 8:0.81 n=8,Turn 1:0.19 n=8; Turn 5:0.25 n=8; Turn 4:0.31 n=8; Turn 6:0.31 n=8,4,25,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6515,event_indy_nxt_2025_5488,2025,Grand Prix of St. Petersburg,Streets of St. Petersburg,street,practice,Practice 1,22,318,180,0.433,0.0833,0.1833,Turns 5-8:0.67 n=20; Turns 2/3:0.59 n=20; Turn 1:0.53 n=20; Turn 9:0.51 n=20,Turn 10:0.30 n=20; Turns 13/14:0.31 n=20; Turn 4:0.35 n=20; Turns 11/12:0.40 n=20,14,29,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6516,event_indy_nxt_2025_5488,2025,Grand Prix of St. Petersburg,Streets of St. Petersburg,street,practice,Practice 2,29,388,252,0.3944,0.0595,0.3333,Turns 2/3:0.55 n=28; Turns 5-8:0.47 n=28; Turn 4:0.42 n=28; Turn 9:0.42 n=28,Turns 13/14:0.26 n=28; Turn 10:0.28 n=28; Turn 1:0.28 n=28; Turns 11/12:0.38 n=28,19,30,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6518,event_indy_nxt_2025_5488,2025,Grand Prix of St. Petersburg,Streets of St. Petersburg,street,qualifying,Qualifications - Group 2,10,135,90,0.3,0.0667,0.4556,Turns 2/3:0.55 n=10; Turns 5-8:0.55 n=10; Turn 1:0.35 n=10; Turns 13/14:0.30 n=10,Turn 10:0.11 n=10; Turn 9:0.15 n=10; Turn 9a:0.15 n=10; Turns 11/12:0.20 n=10,10,27,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6588,event_indy_nxt_2025_5490,2025,INDY NXT by Firestone at the Milwaukee Mile,The Milwaukee Mile,oval,qualifying,Qualifications,2,21,14,0.7647,0.6429,0.0,,,5,23,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6593,event_indy_nxt_2025_5489,2025,Music City Grand Prix,Nashville Superspeedway,oval,qualifying,Qualifications,2,19,16,0.5294,0.1875,0.0625,,,9,20,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6599,event_indy_nxt_2025_5496,2025,INDY NXT by Firestone at World Wide Technology Raceway,World Wide Technology Raceway,oval,qualifying,Qualifications,2,20,12,0.1765,0.0,0.5833,,,16,22,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6611,event_indy_nxt_2025_5487,2025,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,15,247,150,0.5,0.2133,0.1667,Turns 1-3:0.84 n=15; Turns 5-6:0.76 n=15; Turn 17:0.69 n=15; Turns 8-9:0.63 n=15,Turn 10:0.25 n=15; Turn 11:0.32 n=15; Turns 14-16:0.45 n=15; Turn 4:0.47 n=15,13,31,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
