sessionId,eventId,seasonYear,eventName,trackName,trackType,sessionType,sessionName,sectionName,sectionType,rank,fieldSize,percentile,time,timeSeconds,speedMph,lapNumber,sourceState,sourceMetricId,sourceHash
session_indy_nxt_2024_6355,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 2,Turns 5-6,track_section,14,21,0.35,00:05.7008,5.7008,70.205,16,official_top_section_times,metric_indy_nxt_2024_6355_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6355,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 2,Turn 7,track_section,6,21,0.75,00:08.0610,8.061,128.734,20,official_top_section_times,metric_indy_nxt_2024_6355_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6355,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 2,Turns 8-9,track_section,18,21,0.15,00:07.5382,7.5382,86.197,18,official_top_section_times,metric_indy_nxt_2024_6355_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6355,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 2,Turn 10,track_section,3,21,0.9,00:04.2694,4.2694,127.759,20,official_top_section_times,metric_indy_nxt_2024_6355_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6355,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 2,Turn 11,track_section,7,21,0.7,00:06.0359,6.0359,149.446,20,official_top_section_times,metric_indy_nxt_2024_6355_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6355,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 2,Turns 12-13,track_section,12,21,0.45,00:05.7084,5.7084,125.412,18,official_top_section_times,metric_indy_nxt_2024_6355_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6355,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 2,I2 to I3,track_section,12,21,0.45,00:13.0209,13.0209,104.465,18,official_top_section_times,metric_indy_nxt_2024_6355_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6355,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 2,I4 to I5,track_section,15,21,0.3,00:11.8134,11.8134,101.175,20,official_top_section_times,metric_indy_nxt_2024_6355_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6355,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 2,SF to SFT,pit_or_timing_line,11,22,0.5238,00:00.6306,0.6306,144.885,12,official_top_section_times,metric_indy_nxt_2024_6355_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6355,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 2,I6T to I6,track_section,8,22,0.6667,00:00.5223,0.5223,157.957,6,official_top_section_times,metric_indy_nxt_2024_6355_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6355,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 2,I7T to I7,track_section,5,21,0.8,00:00.5389,0.5389,126.518,17,official_top_section_times,metric_indy_nxt_2024_6355_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
