sectionFamily,sessionType,trackName,observationRows,medianPercentile,meanPercentile,topQuartileShare,bottomQuartileShare,sourceHash
Turn 3,qualifying,Mid-Ohio Sports Car Course,19,0.5,0.5461,0.3158,0.1579,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 4,qualifying,Mid-Ohio Sports Car Course,19,0.5,0.4671,0.2105,0.2632,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 5,qualifying,Mid-Ohio Sports Car Course,19,0.625,0.6579,0.4737,0.1053,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 6/7,qualifying,Mid-Ohio Sports Car Course,19,0.75,0.5461,0.5263,0.3158,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 8,qualifying,Mid-Ohio Sports Car Course,19,0.5,0.4934,0.3684,0.3684,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 9,qualifying,Mid-Ohio Sports Car Course,19,0.375,0.4737,0.3158,0.3684,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 1 Entry Turn 1 Exit Turn 2 Entry BackStretch BackStretch,practice,Nashville Superspeedway,106,0.6667,0.6286,0.3774,0.1226,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 3,practice,Nashville Superspeedway,106,0.7059,0.6564,0.434,0.0849,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 4 Entry Turn 4 Exit,practice,Nashville Superspeedway,105,0.625,0.5872,0.3238,0.1238,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 1,practice,Portland International Raceway,90,0.567,0.5345,0.1667,0.1556,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 12,practice,Portland International Raceway,91,0.5556,0.546,0.3077,0.1978,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 2,practice,Portland International Raceway,90,0.5359,0.5489,0.2444,0.1333,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 3,practice,Portland International Raceway,90,0.5798,0.5793,0.2889,0.0889,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
