sessionId,restartIndex,restartLap,driverId,driverName,carNumber,isBryce,isTeammate,baselinePosition,endPosition,net,sourceHash
session_indy_nxt_2024_6316,1,5,driver_kiko_porto,Kiko Porto,39,false,false,20,20,0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6316,1,5,driver_jacob_abel,Jacob Abel,51,false,false,2,2,0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6316,1,5,driver_christian_bogle,Christian Bogle,7,false,false,16,16,0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6316,1,5,driver_nolan_allaer,Nolan Allaer,11,false,false,14,15,-1,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6316,1,5,driver_niels_koolen,Niels Koolen,33,false,false,17,18,-1,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6316,1,5,driver_lindsay_brewer,Lindsay Brewer,76,false,false,18,19,-1,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6316,1,5,driver_reece_gold,Reece Gold,10,false,false,5,7,-2,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6316,1,5,driver_myles_rowe,Myles Rowe,99,false,false,8,10,-2,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6316,1,5,driver_josh_pierson,Josh Pierson,14,false,false,9,13,-4,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6316,2,11,driver_reece_gold,Reece Gold,10,false,false,7,6,1,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6316,2,11,driver_josh_pierson,Josh Pierson,14,false,false,12,11,1,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6316,2,11,driver_louis_foster,Louis Foster,26,false,true,3,2,1,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6316,2,11,driver_kiko_porto,Kiko Porto,39,false,false,18,17,1,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6316,2,11,driver_christian_bogle,Christian Bogle,7,false,false,14,13,1,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6316,2,11,driver_callum_hedge,Callum Hedge,17,false,false,5,5,0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6316,2,11,driver_caio_collet,Caio Collet,18,false,false,4,4,0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6316,2,11,driver_yuven_sundaramoorthy,Yuven Sundaramoorthy,22,false,false,9,9,0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
