sessionId,raceLabel,seasonYear,trackName,trackType,teamName,startPosition,finishPosition,positionGain,finishPercentile,conversionPercentileDelta,paceIndex,bestLapRank,medianSectionPercentile,sectionComparisonRows,bryceLapGainPercentile,bryceStabilityPercentile,chaosExposureIndex,cautionShare,sessionIncidentCount,sessionPenaltyCount,bryceVsTeamAvgFinish,teamFinishRank,leaderEntropy,weatherContext,archetype,sourceState,confidence,caveat
session_indy_nxt_2026_6751,2026 Grand Prix of St. Petersburg,2026,Streets of St. Petersburg,street,Chip Ganassi Racing,19.0,18.0,1.0,0.2917,0.07430869565217402,0.3735177865612648,15.0,0.3557312252964427,462,0.375,0.20833333333333334,0.3942857142857143,0.2857142857142857,8,2,-3.25,1,0.0,dry/cool/medium,team_context_outperformed_teammates,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2026_6753,2026 Grand Prix of Arlington,2026,Grand Prix of Arlington Street Circuit,street,Chip Ganassi Racing,23.0,18.0,5.0,0.2917,0.2482217391304349,0.14078674948240166,23.0,0.23809523809523814,377,0.6086956521739131,0.4782608695652174,0.5511256300817943,0.3333333333333333,4,4,1.25,3,0.672294817075638,dry/moderate/medium,recovery_drive,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2026_6750,2026 Grand Prix of Alabama Race 1 R1,2026,Barber Motorsports Park,road,Chip Ganassi Racing,5.0,8.0,-3.0,0.7083,-0.1177869565217391,0.599802371541502,10.0,0.5909090909090908,383,0.2608695652173913,0.4782608695652174,0.4116237023338549,0.1428571428571428,3,2,-9.25,1,0.8224042259549891,dry/cool/medium,baseline_execution,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2026_6752,2026 Grand Prix of Alabama Race 2 R2,2026,Barber Motorsports Park,road,Chip Ganassi Racing,11.0,7.0,4.0,0.75,0.1847826086956521,0.6452569169960475,10.0,0.6818181818181819,330,0.8333333333333334,1.0,0.05,0.0,0,2,-8.0,1,0.0,dry/cold/medium,baseline_execution,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2026_6756,2026 Indianapolis Grand Prix Race 1 R1,2026,Indianapolis Motor Speedway Road Course,road,Chip Ganassi Racing,13.0,22.0,-9.0,0.125,-0.3532608695652174,0.391304347826087,18.0,0.5217391304347826,363,0.16666666666666666,0.20833333333333334,0.48139110883446995,0.1724137931034483,2,2,7.75,4,0.5787946246321198,wet/cool/medium,conversion_loss,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2026_6765,2026 Indianapolis Grand Prix Race 2 R2,2026,Indianapolis Motor Speedway Road Course,road,Chip Ganassi Racing,14.0,12.0,2.0,0.5417,0.10691739130434774,0.4782608695652174,13.0,0.4782608695652174,389,1.0,0.4166666666666667,0.28833333333333333,0.0,1,7,-4.75,1,0.0,dry/moderate/high,team_context_outperformed_teammates,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2026_6749,2026 Detroit Grand Prix,2026,Detroit Downtown Street Circuit,street,Chip Ganassi Racing,14.0,8.0,6.0,0.7083,0.2735173913043478,0.5217391304347826,12.0,0.5217391304347826,756,0.4166666666666667,0.5833333333333334,0.8069925001442312,0.3333333333333333,6,6,-9.0,1,0.9182958340544894,dry/moderate/medium,recovery_drive,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2026_6763,2026 INDY NXT by Firestone at World Wide Technology Raceway,2026,World Wide Technology Raceway,oval,Chip Ganassi Racing,12.0,23.0,-11.0,0.0833,-0.4384391304347826,0.0,24.0,,40,0.5416666666666666,0.9583333333333334,0.6185766417069667,0.2266666666666666,7,1,7.75,4,0.9895498752015003,wet/hot/medium,incident_or_reliability_limited,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2026_6762,2026 Grand Prix at Road America Race 1 R1,2026,Road America,road,Chip Ganassi Racing,15.0,21.0,-6.0,0.1667,-0.22460434782608693,0.8181818181818181,1.0,0.6363636363636364,430,0.08695652173913043,0.43478260869565216,0.6108567855576005,0.4,5,2,5.25,4,0.9709505944546688,dry/moderate/medium,hidden_pace_bad_result,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2026_6754,2026 Grand Prix at Road America Race 2 R2,2026,Road America,road,Chip Ganassi Racing,15.0,10.0,5.0,0.625,0.23369565217391308,0.4673913043478261,14.0,0.5,396,0.5833333333333334,0.5833333333333334,0.31166666666666665,0.1666666666666666,3,2,-2.75,2,,dry/moderate/low,recovery_drive,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2026_6761,2026 Grand Prix at Mid-Ohio Race 1 R1,2026,Mid-Ohio Sports Car Course,road,Chip Ganassi Racing,13.0,16.0,-3.0,0.375,-0.1032608695652174,0.20256916996047436,22.0,0.31818181818181823,595,0.2916666666666667,0.6666666666666666,0.26690476190476187,0.1714285714285714,4,0,-1.5,2,0.0,dry/hot/medium,team_context_outperformed_teammates,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2026_6760,2026 Grand Prix at Mid-Ohio Race 2 R2,2026,Mid-Ohio Sports Car Course,road,Chip Ganassi Racing,15.0,14.0,1.0,0.4583,0.06699565217391307,0.3043478260869565,19.0,0.3913043478260869,510,0.875,0.8333333333333334,0.02,0.0,0,0,-3.25,2,0.0,wet/moderate/low,team_context_outperformed_teammates,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2026_6755,2026 Music City Grand Prix,2026,Nashville Superspeedway,oval,Chip Ganassi Racing,8.0,10.0,-2.0,0.6087,-0.07311818181818186,0.5425802139037433,11.0,0.5397058823529413,520,0.08695652173913043,0.5652173913043478,0.3272940754262037,0.1692307692307692,5,0,-6.75,1,0.11467550533614675,dry/hot/low,baseline_execution,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2026_6764,2026 Grand Prix of Portland,2026,Portland International Raceway,road,Chip Ganassi Racing,15.0,16.0,-1.0,0.375,-0.016304347826086918,0.2391304347826087,20.0,0.30434782608695654,452,0.9166666666666666,0.625,0.23619047619047617,0.0571428571428571,1,4,-1.75,2,0.0,dry/moderate/low,team_context_outperformed_teammates,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2026_6757,2026 INDY NXT by Firestone at Milwaukee Mile,2026,The Milwaukee Mile,oval,Chip Ganassi Racing,14.0,8.0,6.0,0.6957,0.286609090909091,0.5227272727272727,11.0,0.5,810,0.7391304347826086,0.5217391304347826,0.608749377887889,0.2333333333333333,7,0,-7.5,1,0.9770802227727781,dry/moderate/medium,recovery_drive,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2026_6759,2026 Grand Prix of Monterey Race 1 R1,2026,WeatherTech Raceway Laguna Seca,road,Chip Ganassi Racing,7.0,6.0,1.0,0.7917,0.05256956521739131,0.673913043478261,6.0,0.5652173913043479,560,0.4583333333333333,1.0,0.47428571428571425,0.2857142857142857,6,3,-7.0,2,0.0,dry/moderate/medium,baseline_execution,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2026_6758,2026 Grand Prix of Monterey Race 2 R2,2026,WeatherTech Raceway Laguna Seca,road,Chip Ganassi Racing,10.0,9.0,1.0,0.6667,0.05800434782608688,0.6138716356107661,10.0,0.6190476190476191,480,0.22727272727272727,0.8636363636363636,0.22833333333333333,0.1333333333333333,3,1,-7.75,1,0.0,dry/cool/low,baseline_execution,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
