driverId,driverName,nationality,hometown,seriesIds,seasonYears,teamCount,carCount,eventCount,sessionCount,qualifyingRows,resultRows,lapRows,bestObservedFinish,medianObservedFinish,sharedRaceSessionWithBryceCount,sameTeamAsBryceEventCount,cohortLabel,provenanceRefCount,sourceState,sourceHash
driver_ralf_aron,Ralf Aron,EST,Tallinn,series_imsa_weathertech,2025,1,1,1,1,0,1,148,43,43.0,1,0,shared_race_field,2,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_rasmus_lindh,Rasmus Lindh,SWE,"Gothenburg, Sweden",series_imsa_weathertech,2025,1,1,1,1,0,1,181,8,8.0,1,0,shared_race_field,2,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_reece_gold,Reece Gold,,,series_indy_nxt,2024,1,1,13,54,23,54,476,1,6.5,13,0,shared_race_field,54,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_reece_lycett,Reece LYCETT,,,series_formula_ford,2020,0,2,4,14,0,14,0,7,15.0,9,0,shared_race_field,14,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_reece_ushijima,Reece Ushijima,,,series_gb3,2021,1,1,7,39,14,39,0,1,5.5,20,0,shared_race_field,39,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_reema_juffali,Reema Juffali,,,series_gb3,2021,1,1,7,39,14,39,0,4,16.0,20,0,shared_race_field,39,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_rene_rast,Rene Rast,AUT,"Bregenz, Austria",series_imsa_weathertech,2025,1,1,1,1,0,1,203,7,7.0,1,0,shared_race_field,2,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_renger_van_der_zande,Renger van der Zande,NLD,"Amsterdam, Netherlands",series_imsa_weathertech,2025,1,1,1,1,0,1,203,14,14.0,1,0,shared_race_field,2,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_ricardo_escotto,Ricardo Escotto,,,series_indy_nxt,2024;2025;2026,2,4,22,88,37,88,759,4,13.0,22,0,shared_race_field,88,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_riccardo_agostini,Riccardo Agostini,ITA,"Padova, Italy",series_imsa_weathertech,2025,1,1,1,1,0,1,167,32,32.0,1,0,shared_race_field,2,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_richard_higgins,Richard HIGGINS,,,series_formula_ford,2020,0,1,1,7,0,7,0,9,10.5,2,0,shared_race_field,7,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_richard_ketterman,Richard KETTERMAN,,,series_formula_ford,2020,0,1,1,1,0,1,0,30,30.0,0,0,observed_competitor_or_codriver,1,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_richard_lietz,Richard Lietz,AUT,"Ybbsitz, Austria",series_imsa_weathertech,2025,1,1,1,1,0,1,232,28,28.0,1,0,shared_race_field,2,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
