sessionId,seasonYear,raceLabel,trackName,trackType,venueSlug,cautionNumber,startLap,endLap,durationLaps,totalRaceLaps,lapFraction,third,restartLap,ranToFlag,category,reason,sourceHash
session_indy_nxt_2026_6762,2026,Grand Prix at Road America Race 1,Road America,road,road_america,2,5,7,3,20,0.25,opening,8,false,Contact,Contact: Cars 4 and 75 in Turn 12,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2026_6762,2026,Grand Prix at Road America Race 1,Road America,road,road_america,3,9,10,2,20,0.45,middle,11,false,Contact,Contact: Cars 9 and 57 in Turn 1,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2026_6754,2026,Grand Prix at Road America Race 2,Road America,road,road_america,1,6,6,1,18,0.3333,opening,7,false,Off course,Off Course: Car 8 in Turn 13,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2026_6754,2026,Grand Prix at Road America Race 2,Road America,road,road_america,2,15,16,2,18,0.8333,final,17,false,Contact,Contact: Car 57 in Turn 1,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2026_6761,2026,Grand Prix at Mid-Ohio Race 1,Mid-Ohio Sports Car Course,road,mid_ohio,1,5,6,2,35,0.1429,opening,7,false,Mechanical,Mechanical: Car 15 Between Turn 2 and 3,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2026_6761,2026,Grand Prix at Mid-Ohio Race 1,Mid-Ohio Sports Car Course,road,mid_ohio,2,12,13,2,35,0.3429,middle,14,false,Mechanical,Mechanical: Car 76 in Turn 7,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2026_6761,2026,Grand Prix at Mid-Ohio Race 1,Mid-Ohio Sports Car Course,road,mid_ohio,3,22,23,2,35,0.6286,middle,24,false,Off course,Off Course: Car 68 in Turn 12,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2026_6755,2026,Music City Grand Prix,Nashville Superspeedway,oval,nashville_superspeedway,1,5,13,9,65,0.0769,opening,14,false,Contact,Contact: Cars 48 and 68 in Turn 4,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2026_6755,2026,Music City Grand Prix,Nashville Superspeedway,oval,nashville_superspeedway,2,18,19,2,65,0.2769,opening,20,false,Debris,Debris,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2026_6764,2026,Grand Prix of Portland,Portland International Raceway,road,portland_international_raceway,1,3,4,2,35,0.0857,opening,5,false,Contact,Contact: Car 11 in Turn 12,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2026_6757,2026,INDY NXT by Firestone at Milwaukee Mile,The Milwaukee Mile,oval,the_milwaukee_mile,1,54,63,10,90,0.6,middle,64,false,Contact,Contact: Car 29 in Turn 2,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2026_6757,2026,INDY NXT by Firestone at Milwaukee Mile,The Milwaukee Mile,oval,the_milwaukee_mile,2,69,72,4,90,0.7667,final,73,false,Spin,Spin: Car 26 in Turn 2,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2026_6757,2026,INDY NXT by Firestone at Milwaukee Mile,The Milwaukee Mile,oval,the_milwaukee_mile,3,78,81,4,90,0.8667,final,82,false,Contact,Contact: Car 17 and 99 in Turn 4,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2026_6757,2026,INDY NXT by Firestone at Milwaukee Mile,The Milwaukee Mile,oval,the_milwaukee_mile,4,83,85,3,90,0.9222,final,86,false,Spin,Spin: Car 57 in Turn 2,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2026_6759,2026,Grand Prix of Monterey Race 1,WeatherTech Raceway Laguna Seca,road,weathertech_raceway_laguna_seca,1,13,14,2,35,0.3714,middle,15,false,Off course,Off Course: Car 11 in Turn 9,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2026_6759,2026,Grand Prix of Monterey Race 1,WeatherTech Raceway Laguna Seca,road,weathertech_raceway_laguna_seca,2,17,19,3,35,0.4857,middle,20,false,Contact,"Contact: Cars 4, 8, and 99 in Turn 5",61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2026_6759,2026,Grand Prix of Monterey Race 1,WeatherTech Raceway Laguna Seca,road,weathertech_raceway_laguna_seca,3,22,26,5,35,0.6286,middle,27,false,Contact,Contact: Cars 27 and 57 in Turn 3,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2026_6758,2026,Grand Prix of Monterey Race 2,WeatherTech Raceway Laguna Seca,road,weathertech_raceway_laguna_seca,1,1,4,4,30,0.0333,opening,5,false,Contact,"Contact: Cars 10, 12, and 29 at Start/Finish",61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
