sessionId,eventId,eventName,seriesId,seriesName,seasonYear,sessionType,totalContextRows,racecraftCount,penaltyCount,incidentCount,weatherCount,mediaCount,bryceContextCount,wetDryStates,firstLapNumber,lastLapNumber,sourceStateCounts,sourceHash
session_gb3_2021_213105_race_1_result,event_gb3_2021_r5_snetterton,GB3 2021 Round 5 - Snetterton,series_gb3,GB3 Championship,2021,race,3,0,0,0,1,2,0,dry,,,media_narrative_context:2; official_weather_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2021_213105_race_2_result,event_gb3_2021_r5_snetterton,GB3 2021 Round 5 - Snetterton,series_gb3,GB3 Championship,2021,race,3,0,0,0,1,2,0,dry,,,media_narrative_context:2; official_weather_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2021_213105_race_3_result,event_gb3_2021_r5_snetterton,GB3 2021 Round 5 - Snetterton,series_gb3,GB3 Championship,2021,race,3,0,0,0,1,2,0,dry,,,media_narrative_context:2; official_weather_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2021_213605_qualifying,event_gb3_2021_r6_oulton_park,GB3 2021 Round 6 - Oulton Park,series_gb3,GB3 Championship,2021,qualifying,2,0,0,0,1,1,0,dry,,,media_narrative_context:1; official_weather_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2021_213605_qualifying_2nd_fastest,event_gb3_2021_r6_oulton_park,GB3 2021 Round 6 - Oulton Park,series_gb3,GB3 Championship,2021,qualifying,2,0,0,0,1,1,0,dry,,,media_narrative_context:1; official_weather_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2021_213605_race_1_result,event_gb3_2021_r6_oulton_park,GB3 2021 Round 6 - Oulton Park,series_gb3,GB3 Championship,2021,race,3,0,0,0,1,2,0,dry,,,media_narrative_context:2; official_weather_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2021_213605_race_2_result,event_gb3_2021_r6_oulton_park,GB3 2021 Round 6 - Oulton Park,series_gb3,GB3 Championship,2021,race,3,0,0,0,1,2,0,dry,,,media_narrative_context:2; official_weather_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2021_213605_race_3_result,event_gb3_2021_r6_oulton_park,GB3 2021 Round 6 - Oulton Park,series_gb3,GB3 Championship,2021,race,3,0,0,0,1,2,0,wet,,,media_narrative_context:2; official_weather_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2021_214105_qualifying,event_gb3_2021_r7_donington_park,GB3 2021 Round 7 - Donington Park,series_gb3,GB3 Championship,2021,qualifying,2,0,0,0,1,1,0,dry,,,media_narrative_context:1; official_weather_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2021_214105_qualifying_2nd_fastest,event_gb3_2021_r7_donington_park,GB3 2021 Round 7 - Donington Park,series_gb3,GB3 Championship,2021,qualifying,2,0,0,0,1,1,0,dry,,,media_narrative_context:1; official_weather_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
