sessionId,raceLabel,lapNumber,position,flagState,provenanceRefs
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,10,20,,source_indy_nxt_2024_6325_lap_chart_pdf
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,11,20,,source_indy_nxt_2024_6325_lap_chart_pdf
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,12,20,,source_indy_nxt_2024_6325_lap_chart_pdf
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,13,20,,source_indy_nxt_2024_6325_lap_chart_pdf
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,14,20,,source_indy_nxt_2024_6325_lap_chart_pdf
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,15,20,,source_indy_nxt_2024_6325_lap_chart_pdf
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,16,20,,source_indy_nxt_2024_6325_lap_chart_pdf
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,17,20,,source_indy_nxt_2024_6325_lap_chart_pdf
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,18,20,,source_indy_nxt_2024_6325_lap_chart_pdf
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,19,20,,source_indy_nxt_2024_6325_lap_chart_pdf
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,20,20,,source_indy_nxt_2024_6325_lap_chart_pdf
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,21,20,,source_indy_nxt_2024_6325_lap_chart_pdf
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,22,20,,source_indy_nxt_2024_6325_lap_chart_pdf
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,23,20,,source_indy_nxt_2024_6325_lap_chart_pdf
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,24,20,,source_indy_nxt_2024_6325_lap_chart_pdf
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,25,20,,source_indy_nxt_2024_6325_lap_chart_pdf
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,26,20,,source_indy_nxt_2024_6325_lap_chart_pdf
