sessionId,eventId,seriesId,seriesName,seasonYear,roundIndex,eventName,sessionName,sourceFamily,sourceTable,qualiRank,qualiFieldSize,role,linkageTier,linkedRaceSessionIds,bestLapTime,gapToPole,provenanceRefs,sourceHash
session_gb3_2022_1490,event_gb3_2022_r8_donington_park,series_gb3,GB3 Championship,2022,8,GB3 2022 Round 8 - Donington Park,Qualifying,qualifying_session_result,results.qualifying_session,3,20,grid_setting,unconfirmed_no_grid,,01:23:862,0.233,source_gb3_2022_session_1490,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_euroformula_2023_01-portimao-qualifying,event_euroformula_2023_r1_portimao,series_euroformula_open,Euroformula Open,2023,1,Euroformula Open 2023 Round 1 - Portimao,Qualifying,official_qualifying,qualifyingResults,5,10,grid_setting,grid_confirmed,session_euroformula_2023_01-portimao-race-1,1:37.765,0.571,source_euroformula_2023_01-portimao-qualifying_pdf,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_euroformula_2023_02-spa_francorchamps-qualifying,event_euroformula_2023_r2_spa_francorchamps,series_euroformula_open,Euroformula Open,2023,2,Euroformula Open 2023 Round 2 - Spa-Francorchamps,Qualifying,official_qualifying,qualifyingResults,5,10,grid_setting,grid_confirmed,session_euroformula_2023_02-spa_francorchamps-race-1,2:11.691,0.568,source_euroformula_2023_02-spa_francorchamps-qualifying_pdf,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_euroformula_2023_03-hungaroring-qualifying,event_euroformula_2023_r3_hungaroring,series_euroformula_open,Euroformula Open,2023,3,Euroformula Open 2023 Round 3 - Hungaroring,Qualifying,official_qualifying,qualifyingResults,7,10,grid_setting,grid_confirmed,session_euroformula_2023_03-hungaroring-race-1;session_euroformula_2023_03-hungaroring-race-3,1:35.736,0.939,source_euroformula_2023_03-hungaroring-qualifying_pdf,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_euroformula_2023_04-paul_ricard-qualifying,event_euroformula_2023_r4_paul_ricard,series_euroformula_open,Euroformula Open,2023,4,Euroformula Open 2023 Round 4 - Paul Ricard,Qualifying,official_qualifying,qualifyingResults,3,7,grid_setting,grid_confirmed,session_euroformula_2023_04-paul_ricard-race-1,1:56.536,0.195,source_euroformula_2023_04-paul_ricard-qualifying_pdf,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_euroformula_2023_05-red_bull_ring-qualifying,event_euroformula_2023_r5_red_bull_ring,series_euroformula_open,Euroformula Open,2023,5,Euroformula Open 2023 Round 5 - Red Bull Ring,Qualifying,official_qualifying,qualifyingResults,5,9,grid_setting,grid_confirmed,session_euroformula_2023_05-red_bull_ring-race-1,1:24.058,0.490,source_euroformula_2023_05-red_bull_ring-qualifying_pdf,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_euroformula_2023_06-monza-qualifying,event_euroformula_2023_r6_monza,series_euroformula_open,Euroformula Open,2023,6,Euroformula Open 2023 Round 6 - Monza,Qualifying,official_qualifying,qualifyingResults,4,7,grid_setting,grid_confirmed,session_euroformula_2023_06-monza-race-1,1:44.860,0.778,source_euroformula_2023_06-monza-qualifying_pdf,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6346,event_indy_nxt_2024_5480,series_indy_nxt,INDY NXT,2024,1,Grand Prix of St. Petersburg,Qualifications - Group 2,official_qualifying,qualifyingResults,4,11,group_component,group_component,,01:04.8883,0.3058,source_indynxt_events_session_6346,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6536,event_indy_nxt_2024_5480,series_indy_nxt,INDY NXT,2024,1,Grand Prix of St. Petersburg,Combined Qualifications,official_qualifying,qualifyingResults,8,21,grid_setting,grid_confirmed,session_indy_nxt_2024_6324,01:04.8883,,source_indynxt_events_session_6536,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6357,event_indy_nxt_2024_5470,series_indy_nxt,INDY NXT,2024,2,Grand Prix of Alabama,Qualifications - Group 2,official_qualifying,qualifyingResults,4,11,group_component,group_component,,01:11.7876,0.4369,source_indynxt_events_session_6357,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6537,event_indy_nxt_2024_5470,series_indy_nxt,INDY NXT,2024,2,Grand Prix of Alabama,Combined Qualifications,official_qualifying,qualifyingResults,7,20,grid_setting,grid_confirmed,session_indy_nxt_2024_6314,01:11.7876,,source_indynxt_events_session_6537,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6367,event_indy_nxt_2024_5471,series_indy_nxt,INDY NXT,2024,3,Indianapolis Grand Prix Race 1,Qualifications - Race 1 Group 2,official_qualifying,qualifyingResults,6,11,group_component,group_component,,01:15.4939,0.5581,source_indynxt_events_session_6367,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6538,event_indy_nxt_2024_5471,series_indy_nxt,INDY NXT,2024,3,Indianapolis Grand Prix Race 1,Combined Qualifications,official_qualifying,qualifyingResults,11,20,grid_setting,grid_confirmed,session_indy_nxt_2024_6315,01:15.4939,,source_indynxt_events_session_6538,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_froc_2024_r4_qualifying_1,event_froc_2024_r4_euromarque_motorsport_park,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,4,FROC 2024 Round 4 - Euromarque Motorsport Park,Qualifying 1,qualifying_session_result,results.qualifying_session,7,15,grid_setting,grid_confirmed,session_froc_2024_r4_race_1,01:18.048,00:00.644,source_froc_2024_r4_qualifying_1_html_table,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_froc_2024_r4_qualifying_2,event_froc_2024_r4_euromarque_motorsport_park,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,4,FROC 2024 Round 4 - Euromarque Motorsport Park,Qualifying 2,qualifying_session_result,results.qualifying_session,3,16,grid_setting,grid_confirmed,session_froc_2024_r4_race_3,01:17.142,00:00.324,source_froc_2024_r4_qualifying_2_html_table,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6390,event_indy_nxt_2024_5481,series_indy_nxt,INDY NXT,2024,4,Indianapolis Grand Prix Race 2,Qualifications - Race 2 Group 2,official_qualifying,qualifyingResults,6,11,group_component,group_component,,01:15.5291,0.4763,source_indynxt_events_session_6390,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6539,event_indy_nxt_2024_5481,series_indy_nxt,INDY NXT,2024,4,Indianapolis Grand Prix Race 2,Combined Qualifications,official_qualifying,qualifyingResults,11,20,grid_setting,grid_confirmed,session_indy_nxt_2024_6325,01:15.5291,,source_indynxt_events_session_6539,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_froc_2024_r5_qualifying_1,event_froc_2024_r5_highlands_motorsport_park,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,5,FROC 2024 Round 5 - Highlands Motorsport Park,Qualifying 1,qualifying_session_result,results.qualifying_session,8,18,grid_setting,grid_confirmed,session_froc_2024_r5_race_1,01:28.616,00:00.605,source_froc_2024_r5_qualifying_1_html_table,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_froc_2024_r5_qualifying_2,event_froc_2024_r5_highlands_motorsport_park,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,5,FROC 2024 Round 5 - Highlands Motorsport Park,Qualifying 2,qualifying_session_result,results.qualifying_session,7,13,grid_setting,unlinked_reverse_grid,,01:28.590,00:00.401,source_froc_2024_r5_qualifying_2_html_table,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_froc_2024_r5_qualifying_3,event_froc_2024_r5_highlands_motorsport_park,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,5,FROC 2024 Round 5 - Highlands Motorsport Park,Qualifying 3,qualifying_session_result,results.qualifying_session,6,8,grid_setting,grid_confirmed,session_froc_2024_r5_race_3,01:28.078,00:00.358,source_froc_2024_r5_qualifying_3_html_table,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6394,event_indy_nxt_2024_5482,series_indy_nxt,INDY NXT,2024,5,Detroit Grand Prix,Qualifications - Group 2,official_qualifying,qualifyingResults,6,11,group_component,group_component,,01:06.1334,1.0255,source_indynxt_events_session_6394,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6540,event_indy_nxt_2024_5482,series_indy_nxt,INDY NXT,2024,5,Detroit Grand Prix,Combined Qualifications,official_qualifying,qualifyingResults,11,20,grid_setting,grid_confirmed,session_indy_nxt_2024_6326,01:06.1334,,source_indynxt_events_session_6540,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6405,event_indy_nxt_2024_5472,series_indy_nxt,INDY NXT,2024,6,Grand Prix at Road America,Qualifications - Group 2,official_qualifying,qualifyingResults,4,11,group_component,group_component,,01:51.7496,0.7163,source_indynxt_events_session_6405,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6541,event_indy_nxt_2024_5472,series_indy_nxt,INDY NXT,2024,6,Grand Prix at Road America,Combined Qualifications,official_qualifying,qualifyingResults,7,20,grid_setting,grid_confirmed,session_indy_nxt_2024_6316,01:51.7496,,source_indynxt_events_session_6541,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6416,event_indy_nxt_2024_5473,series_indy_nxt,INDY NXT,2024,7,Grand Prix of Monterey Race 1,Qualifications - Race 1 Group 2,official_qualifying,qualifyingResults,5,10,group_component,group_component,,01:13.3990,1.2230,source_indynxt_events_session_6416,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6542,event_indy_nxt_2024_5473,series_indy_nxt,INDY NXT,2024,7,Grand Prix of Monterey Race 1,Combined Qualifications,official_qualifying,qualifyingResults,9,19,grid_setting,grid_confirmed,session_indy_nxt_2024_6317,01:13.3990,,source_indynxt_events_session_6542,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6418,event_indy_nxt_2024_5483,series_indy_nxt,INDY NXT,2024,8,Grand Prix of Monterey Race 2,Qualifications - Race 2 Group 2,official_qualifying,qualifyingResults,3,10,group_component,group_component,,01:13.5226,1.0782,source_indynxt_events_session_6418,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6543,event_indy_nxt_2024_5483,series_indy_nxt,INDY NXT,2024,8,Grand Prix of Monterey Race 2,Combined Qualifications,official_qualifying,qualifyingResults,5,19,grid_setting,grid_confirmed,session_indy_nxt_2024_6327,01:13.5226,,source_indynxt_events_session_6543,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6428,event_indy_nxt_2024_5474,series_indy_nxt,INDY NXT,2024,9,Grand Prix at Mid-Ohio,Qualifications - Group 1,official_qualifying,qualifyingResults,7,9,group_component,group_component,,01:11.1282,0.8210,source_indynxt_events_session_6428,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6544,event_indy_nxt_2024_5474,series_indy_nxt,INDY NXT,2024,9,Grand Prix at Mid-Ohio,Combined Qualifications,official_qualifying,qualifyingResults,14,18,grid_setting,grid_confirmed,session_indy_nxt_2024_6318,01:11.1282,,source_indynxt_events_session_6544,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6438,event_indy_nxt_2024_5475,series_indy_nxt,INDY NXT,2024,10,INDY NXT by Firestone at Iowa Speedway,Qualifications,official_qualifying,qualifyingResults,9,18,grid_setting,grid_confirmed,session_indy_nxt_2024_6319,,,source_indynxt_events_session_6438,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6481,event_indy_nxt_2024_5476,series_indy_nxt,INDY NXT,2024,11,OUTFRONT Showdown,Qualifications,official_qualifying,qualifyingResults,13,18,grid_setting,grid_confirmed,session_indy_nxt_2024_6320,,,source_indynxt_events_session_6481,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
