raceSessionId,qualiSessionId,seriesId,seriesName,seasonYear,roundIndex,eventName,raceLabel,raceNumber,sourceFamily,sourceTable,qualiRank,qualiFieldSize,grid,start,finish,raceFieldSize,linkageTier,conversionOutcome,qualiToFinish,gridToFinish,sourceHash
session_indy_nxt_2024_6316,session_indy_nxt_2024_6541,series_indy_nxt,INDY NXT,2024,6,Grand Prix at Road America,Race,,official_qualifying,qualifyingResults,7,20,7,7,8,21,grid_confirmed,behind,-1,-1,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6317,session_indy_nxt_2024_6542,series_indy_nxt,INDY NXT,2024,7,Grand Prix of Monterey Race 1,Race,1,official_qualifying,qualifyingResults,9,19,9,9,16,20,grid_confirmed,behind,-7,-7,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6327,session_indy_nxt_2024_6543,series_indy_nxt,INDY NXT,2024,8,Grand Prix of Monterey Race 2,Race,2,official_qualifying,qualifyingResults,5,19,5,5,3,20,grid_confirmed,ahead,2,2,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6318,session_indy_nxt_2024_6544,series_indy_nxt,INDY NXT,2024,9,Grand Prix at Mid-Ohio,Race,,official_qualifying,qualifyingResults,14,18,14,14,18,19,grid_confirmed,behind,-4,-4,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6319,session_indy_nxt_2024_6438,series_indy_nxt,INDY NXT,2024,10,INDY NXT by Firestone at Iowa Speedway,Race,,official_qualifying,qualifyingResults,9,18,9,9,8,18,grid_confirmed,ahead,1,1,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6320,session_indy_nxt_2024_6481,series_indy_nxt,INDY NXT,2024,11,OUTFRONT Showdown,Race,,official_qualifying,qualifyingResults,13,18,13,13,6,18,grid_confirmed,ahead,7,7,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6322,session_indy_nxt_2024_6506,series_indy_nxt,INDY NXT,2024,13,INDY NXT By Firestone at The Milwaukee Mile,Race,,official_qualifying,qualifyingResults,7,18,7,7,4,18,grid_confirmed,ahead,3,3,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2025_6443,session_indy_nxt_2025_6590,series_indy_nxt,INDY NXT,2025,3,Indianapolis Grand Prix Race 2,Race,2,official_qualifying,qualifyingResults,18,21,18,18,15,21,grid_confirmed,ahead,3,3,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2025_6444,session_indy_nxt_2025_6591,series_indy_nxt,INDY NXT,2025,4,Indianapolis Grand Prix Race 1,Race,1,official_qualifying,qualifyingResults,18,21,18,18,15,21,grid_confirmed,ahead,3,3,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2025_6455,session_indy_nxt_2025_6600,series_indy_nxt,INDY NXT,2025,5,Detroit Grand Prix,Race,,official_qualifying,qualifyingResults,15,20,15,15,10,20,grid_confirmed,ahead,5,5,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
